no,company,name,chat
1,OpenAI,ChatGPT,https://chatgpt.com
2,Google,Gemini,https://gemini.google.com
3,Google,Gemma,
4,DeepSeek,DeepSeek,https://chat.deepseek.com
5,Anthropic,Claude,https://claude.ai
6,Microsoft,Copilot,https://copilot.microsoft.com
7,Meta,Meta AI,https://www.meta.ai
8,xAI,Grok,https://grok.x.ai
9,Perplexity,Perplexity AI,https://www.perplexity.ai
10,Mistral,Mistral Chat,https://chat.mistral.ai
11,Cohere,Coral,
12,Character.AI,Character AI,https://character.ai
13,Inflection,Pi,https://pi.ai
14,You.com,YouChat,https://you.com
15,Reka,Reka Chat,
16,Alibaba,Qwen Chat,https://chat.qwen.ai
17,Baidu,ERNIE Bot,
